backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,9,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.042200000000000015,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T04:30:01+00:00,T1,us,69.09384122012315,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T04:32:25+00:00,T2,us,63.41386532039512,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T09:53:48+00:00,frequency,GHz,4.944784357926746,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T04:29:24+00:00,readout_error,,0.060799999999999965,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.09299999999999997,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.0286,2020-10-12T10:43:28.999536
ibmq_16_melbourne,10,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T04:30:01+00:00,T1,us,58.861499305967676,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T04:31:20+00:00,T2,us,87.60250869463187,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T09:53:48+00:00,frequency,GHz,4.997495957904393,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T04:29:24+00:00,readout_error,,0.17930000000000001,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.1956,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.16300000000000003,2020-10-12T10:43:28.999536
ibmq_16_melbourne,11,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T04:30:01+00:00,T1,us,73.19477196089947,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T04:32:25+00:00,T2,us,67.66367986946814,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T09:53:48+00:00,frequency,GHz,4.76342532605658,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T04:29:24+00:00,readout_error,,0.09770000000000001,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.1372,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.05820000000000003,2020-10-12T10:43:28.999536
ibmq_16_melbourne,12,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T04:30:01+00:00,T1,us,30.369408813202654,2020-10-12T10:43:28.999536
ibmq_16_melbourne,13,2020-10-11T04:31:20+00:00,T2,us,32.38288409519123,2020-10-12T10:43:28.999536
